Food id,Food label,Substitution id,Substitution label
http://idea.rpi.edu/heals/kb/usda#01001,"Butter, salted",http://idea.rpi.edu/heals/kb/usda#04506,"Oil, sunflower, linoleic "
http://idea.rpi.edu/heals/kb/usda#01001,"Butter, salted",http://idea.rpi.edu/heals/kb/usda#04679,"Oil, PAM cooking spray, original"
http://idea.rpi.edu/heals/kb/usda#01001,"Butter, salted",http://idea.rpi.edu/heals/kb/usda#04053,"Oil, olive, salad or cooking"
http://idea.rpi.edu/heals/kb/usda#01001,"Butter, salted",http://idea.rpi.edu/heals/kb/usda#04128,"Margarine,spread, 35-39% fat"
http://idea.rpi.edu/heals/kb/usda#01001,"Butter, salted",http://idea.rpi.edu/heals/kb/usda#04601,"Butter, light, stick"
http://idea.rpi.edu/heals/kb/usda#01001,"Butter, salted",http://idea.rpi.edu/heals/kb/usda#04582,"Oil, canola"
http://idea.rpi.edu/heals/kb/usda#01001,"Butter, salted",http://idea.rpi.edu/heals/kb/usda#04581,"Oil, avocado"
http://idea.rpi.edu/heals/kb/usda#01001,"Butter, salted",http://idea.rpi.edu/heals/kb/usda#04556,"Shortening frying , palm "
http://idea.rpi.edu/heals/kb/usda#01001,"Butter, salted",http://idea.rpi.edu/heals/kb/usda#04047,"Oil, coconut"
http://idea.rpi.edu/heals/kb/usda#01001,"Butter, salted",http://idea.rpi.edu/heals/kb/usda#04615,"Shortening, vegetable, household"
http://idea.rpi.edu/heals/kb/usda#01001,"Butter, salted",http://idea.rpi.edu/heals/kb/usda#04034,"Oil, soybean, salad or cooking"
http://idea.rpi.edu/heals/kb/usda#01001,"Butter, salted",http://idea.rpi.edu/heals/kb/usda#04518,"Oil, corn, industrial and retail"
http://idea.rpi.edu/heals/kb/usda#01001,"Butter, salted",http://idea.rpi.edu/heals/kb/usda#04669,"Oil, vegetable, soybean"
http://idea.rpi.edu/heals/kb/usda#01001,"Butter, salted",http://idea.rpi.edu/heals/kb/usda#04073,"Margarine, regular, hard"
http://idea.rpi.edu/heals/kb/usda#01001,"Butter, salted",http://idea.rpi.edu/heals/kb/usda#04668,"Margarine, industrial, soy and partially hydrogenated soy oil"
http://idea.rpi.edu/heals/kb/usda#01004,"Cheese, blue",http://idea.rpi.edu/heals/kb/usda#01256,"Yogurt, Greek, plain"
http://idea.rpi.edu/heals/kb/usda#01004,"Cheese, blue",http://idea.rpi.edu/heals/kb/usda#01019,"Cheese, feta"
http://idea.rpi.edu/heals/kb/usda#01004,"Cheese, blue",http://idea.rpi.edu/heals/kb/usda#01251,"Cheese, Mexican blend"
http://idea.rpi.edu/heals/kb/usda#01004,"Cheese, blue",http://idea.rpi.edu/heals/kb/usda#01006,"Cheese, brie"
http://idea.rpi.edu/heals/kb/usda#01004,"Cheese, blue",http://idea.rpi.edu/heals/kb/usda#01022,"Cheese, gouda"
http://idea.rpi.edu/heals/kb/usda#01006,"Cheese, brie",http://idea.rpi.edu/heals/kb/usda#01019,"Cheese, feta"
http://idea.rpi.edu/heals/kb/usda#01006,"Cheese, brie",http://idea.rpi.edu/heals/kb/usda#01004,"Cheese, blue"
http://idea.rpi.edu/heals/kb/usda#01006,"Cheese, brie",http://idea.rpi.edu/heals/kb/usda#01022,"Cheese, gouda"
http://idea.rpi.edu/heals/kb/usda#01006,"Cheese, brie",http://idea.rpi.edu/heals/kb/usda#01251,"Cheese, Mexican blend"
http://idea.rpi.edu/heals/kb/usda#01009,"Cheese, cheddar ",http://idea.rpi.edu/heals/kb/usda#01048,"Cheese spread, pasteurized process, American"
http://idea.rpi.edu/heals/kb/usda#01009,"Cheese, cheddar ",http://idea.rpi.edu/heals/kb/usda#01004,"Cheese, blue"
http://idea.rpi.edu/heals/kb/usda#01009,"Cheese, cheddar ",http://idea.rpi.edu/heals/kb/usda#01035,"Cheese, provolone"
http://idea.rpi.edu/heals/kb/usda#01009,"Cheese, cheddar ",http://idea.rpi.edu/heals/kb/usda#01032,"Cheese, parmesan, grated"
http://idea.rpi.edu/heals/kb/usda#01009,"Cheese, cheddar ",http://idea.rpi.edu/heals/kb/usda#01165,"Cheese, mexican, queso anejo"
http://idea.rpi.edu/heals/kb/usda#01009,"Cheese, cheddar ",http://idea.rpi.edu/heals/kb/usda#01011,"Cheese, colby"
http://idea.rpi.edu/heals/kb/usda#01009,"Cheese, cheddar ",http://idea.rpi.edu/heals/kb/usda#01167,"Cheese, mexican, queso chihuahua"
http://idea.rpi.edu/heals/kb/usda#01009,"Cheese, cheddar ",http://idea.rpi.edu/heals/kb/usda#01030,"Cheese, muenster"
http://idea.rpi.edu/heals/kb/usda#01009,"Cheese, cheddar ",http://idea.rpi.edu/heals/kb/usda#01029,"Cheese, mozzarella, low moisture"
http://idea.rpi.edu/heals/kb/usda#01009,"Cheese, cheddar ",http://idea.rpi.edu/heals/kb/usda#01019,"Cheese, feta"
http://idea.rpi.edu/heals/kb/usda#01009,"Cheese, cheddar ",http://idea.rpi.edu/heals/kb/usda#01046,"Cheese food, pasteurized process, American"
http://idea.rpi.edu/heals/kb/usda#01009,"Cheese, cheddar ",http://idea.rpi.edu/heals/kb/usda#01043,"Cheese, pasteurized process, pimento"
http://idea.rpi.edu/heals/kb/usda#01009,"Cheese, cheddar ",http://idea.rpi.edu/heals/kb/usda#01166,"Cheese, mexican, queso asadero"
http://idea.rpi.edu/heals/kb/usda#01009,"Cheese, cheddar ",http://idea.rpi.edu/heals/kb/usda#01025,"Cheese, monterey"
http://idea.rpi.edu/heals/kb/usda#01009,"Cheese, cheddar ",http://idea.rpi.edu/heals/kb/usda#01169,"Cheese, low-sodium, cheddar or colby"
http://idea.rpi.edu/heals/kb/usda#01009,"Cheese, cheddar ",http://idea.rpi.edu/heals/kb/usda#01228,"Cheese, fresh, queso fresco"
http://idea.rpi.edu/heals/kb/usda#01009,"Cheese, cheddar ",http://idea.rpi.edu/heals/kb/usda#01020,"Cheese, fontina"
http://idea.rpi.edu/heals/kb/usda#01009,"Cheese, cheddar ",http://idea.rpi.edu/heals/kb/usda#01026,"Cheese, mozzarella, whole milk"
http://idea.rpi.edu/heals/kb/usda#01009,"Cheese, cheddar ",http://idea.rpi.edu/heals/kb/usda#01208,"Cheese, provolone, reduced fat"
http://idea.rpi.edu/heals/kb/usda#01009,"Cheese, cheddar ",http://idea.rpi.edu/heals/kb/usda#01040,"Cheese, swiss"
http://idea.rpi.edu/heals/kb/usda#01009,"Cheese, cheddar ",http://idea.rpi.edu/heals/kb/usda#01005,"Cheese, brick"
http://idea.rpi.edu/heals/kb/usda#01009,"Cheese, cheddar ",http://idea.rpi.edu/heals/kb/usda#01024,"Cheese, limburger"
http://idea.rpi.edu/heals/kb/usda#01011,"Cheese, colby",http://idea.rpi.edu/heals/kb/usda#01024,"Cheese, limburger"
http://idea.rpi.edu/heals/kb/usda#01011,"Cheese, colby",http://idea.rpi.edu/heals/kb/usda#01032,"Cheese, parmesan, grated"
http://idea.rpi.edu/heals/kb/usda#01011,"Cheese, colby",http://idea.rpi.edu/heals/kb/usda#01035,"Cheese, provolone"
http://idea.rpi.edu/heals/kb/usda#01011,"Cheese, colby",http://idea.rpi.edu/heals/kb/usda#01009,"Cheese, cheddar "
http://idea.rpi.edu/heals/kb/usda#01011,"Cheese, colby",http://idea.rpi.edu/heals/kb/usda#01165,"Cheese, mexican, queso anejo"
http://idea.rpi.edu/heals/kb/usda#01011,"Cheese, colby",http://idea.rpi.edu/heals/kb/usda#01167,"Cheese, mexican, queso chihuahua"
http://idea.rpi.edu/heals/kb/usda#01011,"Cheese, colby",http://idea.rpi.edu/heals/kb/usda#01004,"Cheese, blue"
http://idea.rpi.edu/heals/kb/usda#01011,"Cheese, colby",http://idea.rpi.edu/heals/kb/usda#01030,"Cheese, muenster"
http://idea.rpi.edu/heals/kb/usda#01011,"Cheese, colby",http://idea.rpi.edu/heals/kb/usda#01005,"Cheese, brick"
http://idea.rpi.edu/heals/kb/usda#01011,"Cheese, colby",http://idea.rpi.edu/heals/kb/usda#01029,"Cheese, mozzarella, low moisture"
http://idea.rpi.edu/heals/kb/usda#01011,"Cheese, colby",http://idea.rpi.edu/heals/kb/usda#01046,"Cheese food, pasteurized process, American"
http://idea.rpi.edu/heals/kb/usda#01011,"Cheese, colby",http://idea.rpi.edu/heals/kb/usda#01043,"Cheese, pasteurized process, pimento"
http://idea.rpi.edu/heals/kb/usda#01011,"Cheese, colby",http://idea.rpi.edu/heals/kb/usda#01040,"Cheese, swiss"
http://idea.rpi.edu/heals/kb/usda#01011,"Cheese, colby",http://idea.rpi.edu/heals/kb/usda#01166,"Cheese, mexican, queso asadero"
http://idea.rpi.edu/heals/kb/usda#01011,"Cheese, colby",http://idea.rpi.edu/heals/kb/usda#01208,"Cheese, provolone, reduced fat"
http://idea.rpi.edu/heals/kb/usda#01011,"Cheese, colby",http://idea.rpi.edu/heals/kb/usda#01048,"Cheese spread, pasteurized process, American"
http://idea.rpi.edu/heals/kb/usda#01011,"Cheese, colby",http://idea.rpi.edu/heals/kb/usda#01026,"Cheese, mozzarella, whole milk"
http://idea.rpi.edu/heals/kb/usda#01011,"Cheese, colby",http://idea.rpi.edu/heals/kb/usda#01019,"Cheese, feta"
http://idea.rpi.edu/heals/kb/usda#01011,"Cheese, colby",http://idea.rpi.edu/heals/kb/usda#01020,"Cheese, fontina"
http://idea.rpi.edu/heals/kb/usda#01011,"Cheese, colby",http://idea.rpi.edu/heals/kb/usda#01228,"Cheese, fresh, queso fresco"
http://idea.rpi.edu/heals/kb/usda#01011,"Cheese, colby",http://idea.rpi.edu/heals/kb/usda#01169,"Cheese, low-sodium, cheddar or colby"
http://idea.rpi.edu/heals/kb/usda#01011,"Cheese, colby",http://idea.rpi.edu/heals/kb/usda#01025,"Cheese, monterey"
http://idea.rpi.edu/heals/kb/usda#01012,"Cheese, cottage, creamed",http://idea.rpi.edu/heals/kb/usda#01036,"Cheese, ricotta, whole milk"
http://idea.rpi.edu/heals/kb/usda#01012,"Cheese, cottage, creamed",http://idea.rpi.edu/heals/kb/usda#01017,"Cheese, cream"
http://idea.rpi.edu/heals/kb/usda#01012,"Cheese, cottage, creamed",http://idea.rpi.edu/heals/kb/usda#16161,"Tofu, silken"
http://idea.rpi.edu/heals/kb/usda#01012,"Cheese, cottage, creamed",http://idea.rpi.edu/heals/kb/usda#01019,"Cheese, feta"
http://idea.rpi.edu/heals/kb/usda#01017,"Cheese, cream",http://idea.rpi.edu/heals/kb/usda#01056,"Cream, sour, cultured"
http://idea.rpi.edu/heals/kb/usda#01017,"Cheese, cream",http://idea.rpi.edu/heals/kb/usda#01004,"Cheese, blue"
http://idea.rpi.edu/heals/kb/usda#01017,"Cheese, cream",http://idea.rpi.edu/heals/kb/usda#01156,"Cheese, goat, hard type"
http://idea.rpi.edu/heals/kb/usda#01017,"Cheese, cream",http://idea.rpi.edu/heals/kb/usda#01228,"Cheese, fresh, queso fresco"
http://idea.rpi.edu/heals/kb/usda#01017,"Cheese, cream",http://idea.rpi.edu/heals/kb/usda#16128,"Tofu, dried-frozen "
http://idea.rpi.edu/heals/kb/usda#01017,"Cheese, cream",http://idea.rpi.edu/heals/kb/usda#01270,"Cheese, cheddar, sharp"
http://idea.rpi.edu/heals/kb/usda#01019,"Cheese, feta",http://idea.rpi.edu/heals/kb/usda#01026,"Cheese, mozzarella, whole milk"
http://idea.rpi.edu/heals/kb/usda#01019,"Cheese, feta",http://idea.rpi.edu/heals/kb/usda#01167,"Cheese, mexican, queso chihuahua"
http://idea.rpi.edu/heals/kb/usda#01019,"Cheese, feta",http://idea.rpi.edu/heals/kb/usda#01040,"Cheese, swiss"
http://idea.rpi.edu/heals/kb/usda#01019,"Cheese, feta",http://idea.rpi.edu/heals/kb/usda#01043,"Cheese, pasteurized process, pimento"
http://idea.rpi.edu/heals/kb/usda#01019,"Cheese, feta",http://idea.rpi.edu/heals/kb/usda#01029,"Cheese, mozzarella, low moisture"
http://idea.rpi.edu/heals/kb/usda#01019,"Cheese, feta",http://idea.rpi.edu/heals/kb/usda#01208,"Cheese, provolone, reduced fat"
http://idea.rpi.edu/heals/kb/usda#01019,"Cheese, feta",http://idea.rpi.edu/heals/kb/usda#01030,"Cheese, muenster"
http://idea.rpi.edu/heals/kb/usda#01019,"Cheese, feta",http://idea.rpi.edu/heals/kb/usda#01005,"Cheese, brick"
http://idea.rpi.edu/heals/kb/usda#01019,"Cheese, feta",http://idea.rpi.edu/heals/kb/usda#01156,"Cheese, goat, hard type"
http://idea.rpi.edu/heals/kb/usda#01019,"Cheese, feta",http://idea.rpi.edu/heals/kb/usda#01166,"Cheese, mexican, queso asadero"
http://idea.rpi.edu/heals/kb/usda#01019,"Cheese, feta",http://idea.rpi.edu/heals/kb/usda#01036,"Cheese, ricotta, whole milk"
http://idea.rpi.edu/heals/kb/usda#01019,"Cheese, feta",http://idea.rpi.edu/heals/kb/usda#01011,"Cheese, colby"
http://idea.rpi.edu/heals/kb/usda#01019,"Cheese, feta",http://idea.rpi.edu/heals/kb/usda#01004,"Cheese, blue"
http://idea.rpi.edu/heals/kb/usda#01019,"Cheese, feta",http://idea.rpi.edu/heals/kb/usda#01024,"Cheese, limburger"
http://idea.rpi.edu/heals/kb/usda#01019,"Cheese, feta",http://idea.rpi.edu/heals/kb/usda#01032,"Cheese, parmesan, grated"
http://idea.rpi.edu/heals/kb/usda#01019,"Cheese, feta",http://idea.rpi.edu/heals/kb/usda#01035,"Cheese, provolone"
http://idea.rpi.edu/heals/kb/usda#01019,"Cheese, feta",http://idea.rpi.edu/heals/kb/usda#01009,"Cheese, cheddar "
http://idea.rpi.edu/heals/kb/usda#01019,"Cheese, feta",http://idea.rpi.edu/heals/kb/usda#01025,"Cheese, monterey"
http://idea.rpi.edu/heals/kb/usda#01019,"Cheese, feta",http://idea.rpi.edu/heals/kb/usda#01169,"Cheese, low-sodium, cheddar or colby"
http://idea.rpi.edu/heals/kb/usda#01019,"Cheese, feta",http://idea.rpi.edu/heals/kb/usda#01228,"Cheese, fresh, queso fresco"
http://idea.rpi.edu/heals/kb/usda#01019,"Cheese, feta",http://idea.rpi.edu/heals/kb/usda#01048,"Cheese spread, pasteurized process, American"
http://idea.rpi.edu/heals/kb/usda#01019,"Cheese, feta",http://idea.rpi.edu/heals/kb/usda#01165,"Cheese, mexican, queso anejo"
http://idea.rpi.edu/heals/kb/usda#01019,"Cheese, feta",http://idea.rpi.edu/heals/kb/usda#01020,"Cheese, fontina"
http://idea.rpi.edu/heals/kb/usda#01020,"Cheese, fontina",http://idea.rpi.edu/heals/kb/usda#01040,"Cheese, swiss"
http://idea.rpi.edu/heals/kb/usda#01020,"Cheese, fontina",http://idea.rpi.edu/heals/kb/usda#01043,"Cheese, pasteurized process, pimento"
http://idea.rpi.edu/heals/kb/usda#01020,"Cheese, fontina",http://idea.rpi.edu/heals/kb/usda#01024,"Cheese, limburger"
http://idea.rpi.edu/heals/kb/usda#01020,"Cheese, fontina",http://idea.rpi.edu/heals/kb/usda#01029,"Cheese, mozzarella, low moisture"
http://idea.rpi.edu/heals/kb/usda#01020,"Cheese, fontina",http://idea.rpi.edu/heals/kb/usda#01005,"Cheese, brick"
http://idea.rpi.edu/heals/kb/usda#01020,"Cheese, fontina",http://idea.rpi.edu/heals/kb/usda#01030,"Cheese, muenster"
http://idea.rpi.edu/heals/kb/usda#01020,"Cheese, fontina",http://idea.rpi.edu/heals/kb/usda#01167,"Cheese, mexican, queso chihuahua"
http://idea.rpi.edu/heals/kb/usda#01020,"Cheese, fontina",http://idea.rpi.edu/heals/kb/usda#01046,"Cheese food, pasteurized process, American"
http://idea.rpi.edu/heals/kb/usda#01020,"Cheese, fontina",http://idea.rpi.edu/heals/kb/usda#01011,"Cheese, colby"
http://idea.rpi.edu/heals/kb/usda#01020,"Cheese, fontina",http://idea.rpi.edu/heals/kb/usda#01229,"Cheese, white, queso blanco"
http://idea.rpi.edu/heals/kb/usda#01020,"Cheese, fontina",http://idea.rpi.edu/heals/kb/usda#01166,"Cheese, mexican, queso asadero"
http://idea.rpi.edu/heals/kb/usda#01020,"Cheese, fontina",http://idea.rpi.edu/heals/kb/usda#01019,"Cheese, feta"
http://idea.rpi.edu/heals/kb/usda#01020,"Cheese, fontina",http://idea.rpi.edu/heals/kb/usda#01018,"Cheese, edam"
http://idea.rpi.edu/heals/kb/usda#01020,"Cheese, fontina",http://idea.rpi.edu/heals/kb/usda#01009,"Cheese, cheddar "
http://idea.rpi.edu/heals/kb/usda#01020,"Cheese, fontina",http://idea.rpi.edu/heals/kb/usda#01208,"Cheese, provolone, reduced fat"
http://idea.rpi.edu/heals/kb/usda#01020,"Cheese, fontina",http://idea.rpi.edu/heals/kb/usda#01025,"Cheese, monterey"
http://idea.rpi.edu/heals/kb/usda#01020,"Cheese, fontina",http://idea.rpi.edu/heals/kb/usda#01035,"Cheese, provolone"
http://idea.rpi.edu/heals/kb/usda#01020,"Cheese, fontina",http://idea.rpi.edu/heals/kb/usda#01032,"Cheese, parmesan, grated"
http://idea.rpi.edu/heals/kb/usda#01020,"Cheese, fontina",http://idea.rpi.edu/heals/kb/usda#01165,"Cheese, mexican, queso anejo"
http://idea.rpi.edu/heals/kb/usda#01020,"Cheese, fontina",http://idea.rpi.edu/heals/kb/usda#01004,"Cheese, blue"
http://idea.rpi.edu/heals/kb/usda#01020,"Cheese, fontina",http://idea.rpi.edu/heals/kb/usda#01228,"Cheese, fresh, queso fresco"
http://idea.rpi.edu/heals/kb/usda#01020,"Cheese, fontina",http://idea.rpi.edu/heals/kb/usda#01048,"Cheese spread, pasteurized process, American"
http://idea.rpi.edu/heals/kb/usda#01020,"Cheese, fontina",http://idea.rpi.edu/heals/kb/usda#01169,"Cheese, low-sodium, cheddar or colby"
http://idea.rpi.edu/heals/kb/usda#01020,"Cheese, fontina",http://idea.rpi.edu/heals/kb/usda#01026,"Cheese, mozzarella, whole milk"
http://idea.rpi.edu/heals/kb/usda#01023,"Cheese, gruyere",http://idea.rpi.edu/heals/kb/usda#01040,"Cheese, swiss"
http://idea.rpi.edu/heals/kb/usda#01023,"Cheese, gruyere",http://idea.rpi.edu/heals/kb/usda#01042,"Cheese, pasteurized process, American"
http://idea.rpi.edu/heals/kb/usda#01023,"Cheese, gruyere",http://idea.rpi.edu/heals/kb/usda#01033,"Cheese, parmesan, hard"
http://idea.rpi.edu/heals/kb/usda#01023,"Cheese, gruyere",http://idea.rpi.edu/heals/kb/usda#01035,"Cheese, provolone"
http://idea.rpi.edu/heals/kb/usda#01023,"Cheese, gruyere",http://idea.rpi.edu/heals/kb/usda#01265,"Cheese, cheddar, nonfat or fat free"
http://idea.rpi.edu/heals/kb/usda#01023,"Cheese, gruyere",http://idea.rpi.edu/heals/kb/usda#01036,"Cheese, ricotta, whole milk"
http://idea.rpi.edu/heals/kb/usda#01023,"Cheese, gruyere",http://idea.rpi.edu/heals/kb/usda#01009,"Cheese, cheddar "
http://idea.rpi.edu/heals/kb/usda#01032,"Cheese, parmesan, grated",http://idea.rpi.edu/heals/kb/usda#01029,"Cheese, mozzarella, low moisture"
http://idea.rpi.edu/heals/kb/usda#01032,"Cheese, parmesan, grated",http://idea.rpi.edu/heals/kb/usda#01208,"Cheese, provolone, reduced fat"
http://idea.rpi.edu/heals/kb/usda#01032,"Cheese, parmesan, grated",http://idea.rpi.edu/heals/kb/usda#01048,"Cheese spread, pasteurized process, American"
http://idea.rpi.edu/heals/kb/usda#01032,"Cheese, parmesan, grated",http://idea.rpi.edu/heals/kb/usda#01026,"Cheese, mozzarella, whole milk"
http://idea.rpi.edu/heals/kb/usda#01032,"Cheese, parmesan, grated",http://idea.rpi.edu/heals/kb/usda#01020,"Cheese, fontina"
http://idea.rpi.edu/heals/kb/usda#01032,"Cheese, parmesan, grated",http://idea.rpi.edu/heals/kb/usda#01228,"Cheese, fresh, queso fresco"
http://idea.rpi.edu/heals/kb/usda#01032,"Cheese, parmesan, grated",http://idea.rpi.edu/heals/kb/usda#01023,"Cheese, gruyere"
