NDB_No,Shrt_Desc,Main food description,Food code,FoodCategory
01001,"BUTTER,WITH SALT","Butter, NFS",81100500,"Fats, Oils, and Salad Dressings"
01001,"BUTTER,WITH SALT","Butter, stick, salted",81101000,"Fats, Oils, and Salad Dressings"
01001,"BUTTER,WITH SALT","Butter, whipped, stick, salted",81101020,"Fats, Oils, and Salad Dressings"
01002,"BUTTER,WHIPPED,WITH SALT","Butter, whipped, tub, salted",81101010,"Fats, Oils, and Salad Dressings"
01003,"BUTTER OIL,ANHYDROUS","Ghee, clarified butter",81204000,"Fats, Oils, and Salad Dressings"
01004,"CHEESE,BLUE","Cheese, Blue or Roquefort",14101010,Milk and Milk Products
01005,"CHEESE,BRICK","Cheese, Brick",14102010,Milk and Milk Products
01006,"CHEESE,BRIE","Cheese, Brie",14103020,Milk and Milk Products
01007,"CHEESE,CAMEMBERT","Cheese, Camembert",14103010,Milk and Milk Products
01009,"CHEESE,CHEDDAR","Cheese, Cheddar",14104100,Milk and Milk Products
01011,"CHEESE,COLBY","Cheese, Colby",14104200,Milk and Milk Products
01012,"CHEESE,COTTAGE,CRMD,LRG OR SML CURD","Cheese, cottage, creamed, large or small curd",14201010,Milk and Milk Products
01013,"CHEESE,COTTAGE,CRMD,W/FRUIT","Cheese, cottage, with fruit",14202010,Milk and Milk Products
01014,"CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD","Cheese, cottage, dry curd",14203010,Milk and Milk Products
01015,"CHEESE,COTTAGE,LOWFAT,2% MILKFAT","Cheese, cottage, NFS",14200100,Milk and Milk Products
01015,"CHEESE,COTTAGE,LOWFAT,2% MILKFAT","Cheese, cottage, low fat",14204010,Milk and Milk Products
01017,"CHEESE,CREAM","Cheese, cream",14301010,Milk and Milk Products
01019,"CHEESE,FETA","Cheese, Feta",14104400,Milk and Milk Products
01020,"CHEESE,FONTINA","Cheese, Fontina",14104600,Milk and Milk Products
01022,"CHEESE,GOUDA","Cheese, Port du Salut",14108200,Milk and Milk Products
01023,"CHEESE,GRUYERE","Cheese, Gruyere",14105200,Milk and Milk Products
01024,"CHEESE,LIMBURGER","Cheese, Limburger",14106010,Milk and Milk Products
01025,"CHEESE,MONTEREY","Cheese, Monterey",14106200,Milk and Milk Products
01026,"CHEESE,MOZZARELLA,WHL MILK","Cheese, Mozzarella, whole milk",14107020,Milk and Milk Products
01029,"CHEESE,MOZZARELLA,LO MOIST,PART-SKIM","Cheese, Mozzarella, NFS",14107010,Milk and Milk Products
01029,"CHEESE,MOZZARELLA,LO MOIST,PART-SKIM","Cheese, Mozzarella, part skim",14107030,Milk and Milk Products
01030,"CHEESE,MUENSTER","Cheese, Muenster",14107200,Milk and Milk Products
01032,"CHEESE,PARMESAN,GRATED","Cheese, Parmesan, dry grated",14108010,Milk and Milk Products
