Identifier,Label,Type,Unit,Position,RDV
http://www.w3id.org/foodkg/usda#description,Shrt Desc,Desc,,2,0
http://www.w3id.org/foodkg/usda#water,Water (g),Water,g,3,0
http://www.w3id.org/foodkg/usda#energy,Energ Kcal,Energy,kcal,4,0
http://www.w3id.org/foodkg/usda#protein,Protein (g),Protein,g,5,50
http://www.w3id.org/foodkg/usda#lipid,Lipid Tot (g),Fat,g,6,78
http://www.w3id.org/foodkg/usda#ash,Ash (g),Ash,g,7,0
http://www.w3id.org/foodkg/usda#carbohydrate,Carbohydrt (g),Carbohydrates,g,8,275
http://www.w3id.org/foodkg/usda#fiber,Fiber TD (g),Fiber,g,9,28
http://www.w3id.org/foodkg/usda#sugar,Sugar Tot (g),Carbohydrates,g,10,275
http://www.w3id.org/foodkg/usda#calcium,Calcium (mg),Mineral,mg,11,1300
http://www.w3id.org/foodkg/usda#iron,Iron (mg),Mineral,mg,12,18
http://www.w3id.org/foodkg/usda#magnesium,Magnesium (mg),Mineral,mg,13,420
http://www.w3id.org/foodkg/usda#phosphorus,Phosphorus (mg),Mineral,mg,14,1250
http://www.w3id.org/foodkg/usda#potassium,Potassium (mg),Mineral,mg,15,4700
http://www.w3id.org/foodkg/usda#sodium,Sodium (mg),Mineral,mg,16,2300
http://www.w3id.org/foodkg/usda#zinc,Zinc (mg),Mineral,mg,17,11
http://www.w3id.org/foodkg/usda#copper,Copper mg),Mineral,mg,18,0.9
http://www.w3id.org/foodkg/usda#manganese,Manganese (mg),Mineral,mg,19,2.3
http://www.w3id.org/foodkg/usda#selenium,Selenium (micro_g),Mineral,µg,20,55
http://www.w3id.org/foodkg/usda#vitamin_C,Vit C (mg),Vitamin,mg,21,90
http://www.w3id.org/foodkg/usda#thiamin,Thiamin (mg),Vitamin,mg,22,1.2
http://www.w3id.org/foodkg/usda#riboflavin,Riboflavin (mg),Vitamin,mg,23,1.3
http://www.w3id.org/foodkg/usda#niacin,Niacin (mg),Vitamin,mg,24,16
http://www.w3id.org/foodkg/usda#panto_acid,Panto Acid (mg),Vitamin,mg,25,6
http://www.w3id.org/foodkg/usda#vitamin_B6,Vit B6 (mg),Vitamin,mg,26,1.7
http://www.w3id.org/foodkg/usda#folate,Folate Tot (micro_g),Vitamin,µg,27,400
http://www.w3id.org/foodkg/usda#folic_acid,Folic Acid (micro_g),Vitamin,µg,28,200
http://www.w3id.org/foodkg/usda#food_folate,Food Folate (micro_g),Vitamin,µg,29,0
http://www.w3id.org/foodkg/usda#folate_DFE,Folate DFE (micro_g),Vitamin,µg,30,400
http://www.w3id.org/foodkg/usda#choline,Choline Tot  (mg),Vitamin,mg,31,550
http://www.w3id.org/foodkg/usda#vit_B12,Vit B12 (micro_g),Vitamin,µg,32,2.4
http://www.w3id.org/foodkg/usda#vit_A,Vit A IU,Vitamin,IU,33,0
http://www.w3id.org/foodkg/usda#vit_A_RAE,Vit A RAE,Vitamin,µg,34,900
http://www.w3id.org/foodkg/usda#retinol,Retinol (micro_g),Vitamin,µg,35,0
http://www.w3id.org/foodkg/usda#alpha_carot,Alpha Carot (micro_g),Vitamin,µg,36,0
http://www.w3id.org/foodkg/usda#beta_carot,Beta Carot (micro_g),Vitamin,µg,37,0
http://www.w3id.org/foodkg/usda#beta_crypt,Beta Crypt (micro_g),Vitamin,µg,38,0
http://www.w3id.org/foodkg/usda#lycopene,Lycopene (micro_g),Vitamin,µg,39,0
http://www.w3id.org/foodkg/usda#lut_zea,Lut+Zea  (micro_g),Vitamin,µg,40,0
http://www.w3id.org/foodkg/usda#vitamin_E,Vit E (mg),Vitamin,mg,41,15
http://www.w3id.org/foodkg/usda#vit_D,Vit D micro_g,Vitamin,µg,42,20
http://www.w3id.org/foodkg/usda#vit_D_IU,Vit D IU,Vitamin,IU,43,0
http://www.w3id.org/foodkg/usda#vit_K,Vit K (micro_g),Vitamin,µg,44,120
http://www.w3id.org/foodkg/usda#fat_sat,FA Sat (g),Fat,g,45,20
http://www.w3id.org/foodkg/usda#fat_mono,FA Mono (g),Fat,g,46,0
http://www.w3id.org/foodkg/usda#fat_poly,FA Poly (g),Fat,g,47,0
http://www.w3id.org/foodkg/usda#cholestrl,Cholestrl (mg),Vitamin,mg,48,300
http://www.w3id.org/foodkg/usda#GmWt_1,GmWt 1,Desc,,49,0
http://www.w3id.org/foodkg/usda#GmWt_Desc1,GmWt Desc1,Desc,,50,0
http://www.w3id.org/foodkg/usda#GmWt_2,GmWt 2,Desc,,51,0
http://www.w3id.org/foodkg/usda#GmWt_Desc2,GmWt Desc2,Desc,,52,0
http://www.w3id.org/foodkg/usda#Refuse_Pct,Refuse Pct,Desc,,53,0
