,food_id,food_name,food_group,food_subgroup,source_name,nutri_score,nutri_score_category,hasQuality
0,4,Kiwi,Fruits,Tropical fruits,Fat,-1,A,"['high_vitaminK1', 'high_vitaminB5']"
1,6,Garden onion,Vegetables,Onion-family vegetables,Fat,-4,A,"['high_potassium', 'high_iron', 'high_phosphorus', 'high_vitaminB2', 'high_vitaminB5', 'high_vitaminB6']"
2,9,Chives,Herbs and Spices,Herbs,Fat,-3,A,"['high_vitaminK1', 'high_vitaminB5', 'high_vitaminB8', 'high_vitaminB11']"
3,11,Cashew nut,Nuts,Nuts,Fat,14,D,"['high_iron', 'high_phosphorus', 'high_vitaminEGamma', 'high_vitaminK1', 'high_vitaminB3', 'high_vitaminB5', 'high_vitaminB11']"
4,12,Pineapple,Fruits,Tropical fruits,Fat,2,B,"['high_vitaminB5', 'high_vitaminB8']"
5,13,Dill,Herbs and Spices,Herbs,Fat,7,C,"['high_potassium', 'high_calcium', 'high_iron', 'high_phosphorus', 'high_vitaminB1', 'high_vitaminB5', 'high_vitaminB6', 'high_vitaminB8', 'high_vitaminB11']"
6,14,Custard apple,Fruits,Tropical fruits,Fat,3,C,['high_vitaminB5']
7,15,Wild celery,Herbs and Spices,Spices,Fat,-1,A,"['high_vitaminK1', 'high_vitaminB1', 'high_vitaminB5', 'high_vitaminB8']"
8,16,Peanut,Nuts,Nuts,Fat,7,C,"['high_potassium', 'high_phosphorus', 'high_vitaminEAlpha', 'high_vitaminEGamma', 'high_vitaminB1', 'high_vitaminB3', 'high_vitaminB5', 'high_vitaminB8', 'high_vitaminB11']"
9,17,Burdock,Vegetables,Root vegetables,Fat,0,B,['high_vitaminB5']
10,18,Horseradish,Herbs and Spices,Spices,Fat,-7,A,['high_vitaminB5']
11,19,Tarragon,Herbs and Spices,Herbs,Fat,9,C,"['high_potassium', 'high_calcium', 'high_iron', 'high_phosphorus', 'high_vitaminB2', 'high_vitaminB3', 'high_vitaminB6', 'high_vitaminB11']"
12,20,Mugwort,Herbs and Spices,Herbs,Fat,-5,A,"['high_potassium', 'high_calcium', 'high_iron', 'high_vitaminB2', 'high_vitaminB3']"
13,21,Asparagus,Vegetables,Shoot vegetables,Fat,-2,A,"['high_vitaminK1', 'high_vitaminB5', 'high_vitaminB8', 'high_vitaminB11']"
