str,Resource
"Butter, salted",http://idea.rpi.edu/heals/kb/usda#01001
"Butter, whipped, with salt",http://idea.rpi.edu/heals/kb/usda#01002
"Butter oil, anhydrous",http://idea.rpi.edu/heals/kb/usda#01003
"Cheese, blue",http://idea.rpi.edu/heals/kb/usda#01004
"Cheese, brick",http://idea.rpi.edu/heals/kb/usda#01005
"Cheese, brie",http://idea.rpi.edu/heals/kb/usda#01006
"Cheese, camembert",http://idea.rpi.edu/heals/kb/usda#01007
"Cheese, caraway",http://idea.rpi.edu/heals/kb/usda#01008
"Cheese, cheddar ",http://idea.rpi.edu/heals/kb/usda#01009
"Cheese, cheshire",http://idea.rpi.edu/heals/kb/usda#01010
"Cheese, colby",http://idea.rpi.edu/heals/kb/usda#01011
"Cheese, cottage, creamed",http://idea.rpi.edu/heals/kb/usda#01012
"Cheese, cottage, nonfat",http://idea.rpi.edu/heals/kb/usda#01014
"Cheese, cottage, lowfat",http://idea.rpi.edu/heals/kb/usda#01015
"Cheese, cream",http://idea.rpi.edu/heals/kb/usda#01017
"Cheese, edam",http://idea.rpi.edu/heals/kb/usda#01018
"Cheese, feta",http://idea.rpi.edu/heals/kb/usda#01019
"Cheese, fontina",http://idea.rpi.edu/heals/kb/usda#01020
"Cheese, gjetost",http://idea.rpi.edu/heals/kb/usda#01021
"Cheese, gouda",http://idea.rpi.edu/heals/kb/usda#01022
"Cheese, gruyere",http://idea.rpi.edu/heals/kb/usda#01023
"Cheese, limburger",http://idea.rpi.edu/heals/kb/usda#01024
"Cheese, monterey",http://idea.rpi.edu/heals/kb/usda#01025
"Cheese, mozzarella, whole milk",http://idea.rpi.edu/heals/kb/usda#01026
"Cheese, mozzarella, part skim milk",http://idea.rpi.edu/heals/kb/usda#01028
"Cheese, mozzarella, low moisture",http://idea.rpi.edu/heals/kb/usda#01029
"Cheese, muenster",http://idea.rpi.edu/heals/kb/usda#01030
"Cheese, neufchatel",http://idea.rpi.edu/heals/kb/usda#01031
"Cheese, parmesan, grated",http://idea.rpi.edu/heals/kb/usda#01032
"Cheese, parmesan, hard",http://idea.rpi.edu/heals/kb/usda#01033
"Cheese, port de salut",http://idea.rpi.edu/heals/kb/usda#01034
"Cheese, provolone",http://idea.rpi.edu/heals/kb/usda#01035
"Cheese, ricotta, whole milk",http://idea.rpi.edu/heals/kb/usda#01036
"Cheese, ricotta, part skim milk",http://idea.rpi.edu/heals/kb/usda#01037
"Cheese, romano",http://idea.rpi.edu/heals/kb/usda#01038
"Cheese, roquefort",http://idea.rpi.edu/heals/kb/usda#01039
"Cheese, swiss",http://idea.rpi.edu/heals/kb/usda#01040
"Cheese, tilsit",http://idea.rpi.edu/heals/kb/usda#01041
"Cheese, pasteurized process, American",http://idea.rpi.edu/heals/kb/usda#01042
"Cheese, pasteurized process, pimento",http://idea.rpi.edu/heals/kb/usda#01043
"Cheese, pasteurized process, swiss",http://idea.rpi.edu/heals/kb/usda#01044
"Cheese food, cold pack, American",http://idea.rpi.edu/heals/kb/usda#01045
"Cheese food, pasteurized process, American",http://idea.rpi.edu/heals/kb/usda#01046
"Cheese food, pasteurized process, swiss",http://idea.rpi.edu/heals/kb/usda#01047
"Cheese spread, pasteurized process, American",http://idea.rpi.edu/heals/kb/usda#01048
"Cream, fluid, half and half",http://idea.rpi.edu/heals/kb/usda#01049
"Cream, fluid, light ",http://idea.rpi.edu/heals/kb/usda#01050
"Cream, fluid, light whipping",http://idea.rpi.edu/heals/kb/usda#01052
"Cream, fluid, heavy whipping",http://idea.rpi.edu/heals/kb/usda#01053
"Cream, whipped, cream topping",http://idea.rpi.edu/heals/kb/usda#01054
"Cream, sour, reduced fat",http://idea.rpi.edu/heals/kb/usda#01055
"Cream, sour, cultured",http://idea.rpi.edu/heals/kb/usda#01056
Eggnog,http://idea.rpi.edu/heals/kb/usda#01057
"Sour dressing, non-butterfat, cultured",http://idea.rpi.edu/heals/kb/usda#01058
"Milk, filled, fluid",http://idea.rpi.edu/heals/kb/usda#01059
"Cheese, American, nonfat or fat free",http://idea.rpi.edu/heals/kb/usda#01061
"Yogurt, Greek, 2% fat",http://idea.rpi.edu/heals/kb/usda#01064
"Yogurt, Greek, 2%fat",http://idea.rpi.edu/heals/kb/usda#01065
"Cream substitute, liquid, with hydrogenated vegetable oil and soy protein",http://idea.rpi.edu/heals/kb/usda#01067
"Cream substitute, liquid, with lauric acid oil and sodium caseinate",http://idea.rpi.edu/heals/kb/usda#01068
"Cream substitute, powdered",http://idea.rpi.edu/heals/kb/usda#01069
"Dessert topping, powdered",http://idea.rpi.edu/heals/kb/usda#01070
"Dessert topping, powdered, 1.5 ounce prepared with 1/2 cup milk",http://idea.rpi.edu/heals/kb/usda#01071
"Dessert topping, pressurized",http://idea.rpi.edu/heals/kb/usda#01072
"Dessert topping, semi solid, frozen",http://idea.rpi.edu/heals/kb/usda#01073
"Sour cream, imitation, cultured",http://idea.rpi.edu/heals/kb/usda#01074
"Milk substitutes, fluid, with lauric acid oil",http://idea.rpi.edu/heals/kb/usda#01076
"Milk, whole, 3.25% milkfat",http://idea.rpi.edu/heals/kb/usda#01077
"Milk, producer, fluid",http://idea.rpi.edu/heals/kb/usda#01078
"Milk, reduced fat, fluid",http://idea.rpi.edu/heals/kb/usda#01079
"Milk, lowfat, fluid",http://idea.rpi.edu/heals/kb/usda#01082
"Milk, nonfat, fluid",http://idea.rpi.edu/heals/kb/usda#01085
"Milk, buttermilk, fluid",http://idea.rpi.edu/heals/kb/usda#01088
"Milk, low sodium, fluid",http://idea.rpi.edu/heals/kb/usda#01089
"Milk, dry, whole",http://idea.rpi.edu/heals/kb/usda#01090
"Milk, dry, nonfat",http://idea.rpi.edu/heals/kb/usda#01091
"Milk, buttermilk, dried",http://idea.rpi.edu/heals/kb/usda#01094
"Milk, canned, condensed",http://idea.rpi.edu/heals/kb/usda#01095
"Milk, canned, evaporated",http://idea.rpi.edu/heals/kb/usda#01096
"Milk, chocolate, fluid",http://idea.rpi.edu/heals/kb/usda#01102
"Milk, chocolate, lowfat",http://idea.rpi.edu/heals/kb/usda#01104
"Milk, chocolate beverage, hot cocoa",http://idea.rpi.edu/heals/kb/usda#01105
"Milk, goat, fluid",http://idea.rpi.edu/heals/kb/usda#01106
"Milk, human, mature",http://idea.rpi.edu/heals/kb/usda#01107
"Milk, indian buffalo, fluid",http://idea.rpi.edu/heals/kb/usda#01108
"Milk, sheep, fluid",http://idea.rpi.edu/heals/kb/usda#01109
"Milk shakes, thick chocolate",http://idea.rpi.edu/heals/kb/usda#01110
"Milk shakes, thick vanilla",http://idea.rpi.edu/heals/kb/usda#01111
"Whey, acid, fluid",http://idea.rpi.edu/heals/kb/usda#01112
"Whey, acid, dried",http://idea.rpi.edu/heals/kb/usda#01113
"Whey, sweet, fluid",http://idea.rpi.edu/heals/kb/usda#01114
"Whey, sweet, dried",http://idea.rpi.edu/heals/kb/usda#01115
"Yogurt, plain, whole milk",http://idea.rpi.edu/heals/kb/usda#01116
"Yogurt, plain, low fat",http://idea.rpi.edu/heals/kb/usda#01117
"Yogurt, plain, skim milk",http://idea.rpi.edu/heals/kb/usda#01118
"Yogurt, vanilla, low fat.",http://idea.rpi.edu/heals/kb/usda#01119
"Yogurt, fruit, low fat",http://idea.rpi.edu/heals/kb/usda#01120
"Egg, whole, raw",http://idea.rpi.edu/heals/kb/usda#01123
"Egg, white, raw",http://idea.rpi.edu/heals/kb/usda#01124
"Egg, yolk, raw",http://idea.rpi.edu/heals/kb/usda#01125
"Egg, whole, cooked",http://idea.rpi.edu/heals/kb/usda#01128
"Egg, whole, dried",http://idea.rpi.edu/heals/kb/usda#01133
"Egg, white, dried",http://idea.rpi.edu/heals/kb/usda#01135
"Egg, yolk, dried",http://idea.rpi.edu/heals/kb/usda#01137
"Egg, duck, whole",http://idea.rpi.edu/heals/kb/usda#01138
"Egg, goose, whole",http://idea.rpi.edu/heals/kb/usda#01139
"Egg, quail, whole",http://idea.rpi.edu/heals/kb/usda#01140
"Egg, turkey, whole",http://idea.rpi.edu/heals/kb/usda#01141
"Egg substitute, powder",http://idea.rpi.edu/heals/kb/usda#01144
"Butter, without salt",http://idea.rpi.edu/heals/kb/usda#01145
"Cheese, parmesan, shredded",http://idea.rpi.edu/heals/kb/usda#01146
"Cheese, goat, hard type",http://idea.rpi.edu/heals/kb/usda#01156
"Cheese, goat, semisoft type",http://idea.rpi.edu/heals/kb/usda#01157
"Cheese, goat, soft type",http://idea.rpi.edu/heals/kb/usda#01159
"Cheese substitute, mozzarella",http://idea.rpi.edu/heals/kb/usda#01161
"Cheese sauce, prepared from recipe",http://idea.rpi.edu/heals/kb/usda#01164
"Cheese, mexican, queso anejo",http://idea.rpi.edu/heals/kb/usda#01165
"Cheese, mexican, queso asadero",http://idea.rpi.edu/heals/kb/usda#01166
"Cheese, mexican, queso chihuahua",http://idea.rpi.edu/heals/kb/usda#01167
"Cheese, low fat, cheddar or colby",http://idea.rpi.edu/heals/kb/usda#01168
"Cheese, low-sodium, cheddar or colby",http://idea.rpi.edu/heals/kb/usda#01169
"Milk, fluid, 1% fat",http://idea.rpi.edu/heals/kb/usda#01175
"Sour cream, reduced fat",http://idea.rpi.edu/heals/kb/usda#01178
"Sour cream, light",http://idea.rpi.edu/heals/kb/usda#01179
"Sour cream, fat free",http://idea.rpi.edu/heals/kb/usda#01180
"Yogurt, vanilla or lemon flavor, nonfat milk",http://idea.rpi.edu/heals/kb/usda#01184
"Parmesan cheese topping, fat free",http://idea.rpi.edu/heals/kb/usda#01185
"Cheese, cream, fat free",http://idea.rpi.edu/heals/kb/usda#01186
"Yogurt, chocolate, nonfat milk",http://idea.rpi.edu/heals/kb/usda#01187
KRAFT CHEEZ WHIZ Pasteurized Process Cheese Sauce,http://idea.rpi.edu/heals/kb/usda#01188
KRAFT CHEEZ WHIZ LIGHT Pasteurized Process Cheese Product,http://idea.rpi.edu/heals/kb/usda#01189
KRAFT FREE Singles American Nonfat Pasteurized Process Cheese Product,http://idea.rpi.edu/heals/kb/usda#01190
KRAFT VELVEETA Pasteurized Process Cheese Spread,http://idea.rpi.edu/heals/kb/usda#01191
KRAFT VELVEETA LIGHT Reduced Fat Pasteurized Process Cheese Product,http://idea.rpi.edu/heals/kb/usda#01192
KRAFT BREAKSTONE'S Reduced Fat Sour Cream,http://idea.rpi.edu/heals/kb/usda#01193
KRAFT BREAKSTONE'S FREE Fat Free Sour Cream,http://idea.rpi.edu/heals/kb/usda#01194
"Cream, half and half, fat free",http://idea.rpi.edu/heals/kb/usda#01199
Reddi Wip Fat Free Whipped Topping,http://idea.rpi.edu/heals/kb/usda#01200
"Yogurt, fruit, lowfat",http://idea.rpi.edu/heals/kb/usda#01203
"Cheese, parmesan, dry grated",http://idea.rpi.edu/heals/kb/usda#01204
"Cream substitute, flavored, liquid",http://idea.rpi.edu/heals/kb/usda#01205
"Cream substitute, flavored, powdered",http://idea.rpi.edu/heals/kb/usda#01206
"Cheese, provolone, reduced fat",http://idea.rpi.edu/heals/kb/usda#01208
"Cheese, Mexican, blend",http://idea.rpi.edu/heals/kb/usda#01209
"Cheese product, pasteurized process, American",http://idea.rpi.edu/heals/kb/usda#01215
"Yogurt, fruit variety, nonfat",http://idea.rpi.edu/heals/kb/usda#01218
"Yogurt, vanilla, low fat",http://idea.rpi.edu/heals/kb/usda#01220
"Protein supplement, milk based, Muscle Milk",http://idea.rpi.edu/heals/kb/usda#01223
"Protein supplement, milk based, Muscle Milk Light",http://idea.rpi.edu/heals/kb/usda#01224
Dulce de Leche,http://idea.rpi.edu/heals/kb/usda#01225
"Egg substitute, liquid or frozen, fat free",http://idea.rpi.edu/heals/kb/usda#01226
"Cheese, dry white, queso seco",http://idea.rpi.edu/heals/kb/usda#01227
"Cheese, fresh, queso fresco",http://idea.rpi.edu/heals/kb/usda#01228
"Cheese, white, queso blanco",http://idea.rpi.edu/heals/kb/usda#01229
"Yogurt, vanilla flavor, lowfat milk",http://idea.rpi.edu/heals/kb/usda#01231
"Yogurt, frozen, flavors not chocolate",http://idea.rpi.edu/heals/kb/usda#01235
"Ice cream, soft serve, chocolate",http://idea.rpi.edu/heals/kb/usda#01236
"Ice cream, bar or stick, chocolate covered",http://idea.rpi.edu/heals/kb/usda#01237
Ice cream sandwich,http://idea.rpi.edu/heals/kb/usda#01238
Ice cream cookie sandwich,http://idea.rpi.edu/heals/kb/usda#01239
"Ice cream cone, chocolate covered, with nuts",http://idea.rpi.edu/heals/kb/usda#01240
"Ice cream sandwich, made with light ice cream, vanilla",http://idea.rpi.edu/heals/kb/usda#01241
"Ice cream sandwich, vanilla, light",http://idea.rpi.edu/heals/kb/usda#01242
"Fat free ice cream, no sugar added, flavors other than chocolate",http://idea.rpi.edu/heals/kb/usda#01243
"Milk dessert bar, frozen, made from lowfat milk",http://idea.rpi.edu/heals/kb/usda#01244
